epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,320.604,0.93615,0.9198,1.11828,0.42897,0.42067,0.38812,0.1894,0.97173,1.37862,1.30979,0.000400231,0.000400231,0.000400231
80,324.324,0.91155,0.97824,1.15644,0.41957,0.33356,0.31004,0.15892,0.9559,1.49769,1.31376,0.000388906,0.000388906,0.000388906
81,328.014,0.89428,0.93977,1.13969,0.54112,0.3611,0.34594,0.17003,0.95704,1.44375,1.30846,0.00037774,0.00037774,0.00037774
82,331.98,0.93264,0.94607,1.12307,0.5618,0.39133,0.35522,0.16337,0.94605,1.41339,1.28903,0.000366742,0.000366742,0.000366742
83,335.66,0.89482,0.92101,1.13736,0.39898,0.35104,0.32006,0.16056,0.93209,1.45417,1.25538,0.000355919,0.000355919,0.000355919
84,339.402,0.90608,0.90773,1.11555,0.51439,0.31167,0.34667,0.17665,1.03206,1.7871,1.36927,0.000345278,0.000345278,0.000345278
85,343.231,0.90341,0.90978,1.11528,0.31405,0.36327,0.31989,0.16492,1.06327,2.03579,1.41392,0.000334827,0.000334827,0.000334827
86,346.899,0.89731,0.89368,1.09364,0.34757,0.31962,0.3234,0.15897,1.06868,1.89975,1.40118,0.000324573,0.000324573,0.000324573
87,350.607,0.85831,0.91994,1.12819,0.50517,0.28086,0.33977,0.17181,1.02156,1.60888,1.34643,0.000314523,0.000314523,0.000314523
88,354.439,0.90349,0.91334,1.11711,0.42453,0.42067,0.38269,0.20249,0.92265,1.47482,1.28561,0.000304684,0.000304684,0.000304684
89,358.705,0.89062,0.86781,1.0923,0.38354,0.42867,0.37528,0.20454,0.92168,1.39871,1.28241,0.000295062,0.000295062,0.000295062
90,362.538,0.83626,0.85742,1.09742,0.41985,0.424,0.39213,0.20123,0.94808,1.36365,1.30726,0.000285665,0.000285665,0.000285665
91,366.362,0.87574,0.89034,1.1259,0.44032,0.35873,0.37869,0.17543,0.97233,1.41919,1.33002,0.000276498,0.000276498,0.000276498
92,370.409,0.86037,0.85493,1.0999,0.34418,0.3521,0.31853,0.1583,1.06687,1.78378,1.37268,0.000267568,0.000267568,0.000267568
93,374.134,0.84146,0.86943,1.1127,0.37562,0.32657,0.31713,0.14218,1.1212,2.03974,1.41407,0.000258881,0.000258881,0.000258881
